scaffold	start	end	mid	sites	lnL
scaffold_1	38	41773	17973	100	-12438.93727
scaffold_1	41809	83142	64171	100	-6777.91348
scaffold_1	83196	115113	102131	100	-13127.10351
scaffold_1	115134	133748	124832	100	-13040.23548
scaffold_1	134124	153668	145635	100	-10777.62451
scaffold_1	153680	168572	159682	100	-16275.49540
scaffold_1	171450	196816	185404	100	-16916.61917
scaffold_1	197200	237008	215682	100	-14787.89003
scaffold_1	238060	253464	248311	100	-13195.16423
scaffold_1	253470	269217	260162	100	-15527.91915
scaffold_1	269226	290216	279508	100	-16873.98166
scaffold_1	290228	304173	299072	100	-11573.44222
scaffold_1	304191	332217	319557	100	-14675.48891
scaffold_1	332346	355390	347114	100	-10481.88142
scaffold_1	355399	363934	359294	100	-7147.08201
scaffold_1	363964	390991	376027	100	-13960.56798
scaffold_1	391189	402066	397412	100	-14938.51933
scaffold_1	402075	432558	415086	100	-20017.17604
scaffold_1	432603	443282	437765	100	-18012.57057
scaffold_1	443327	466505	455023	100	-14810.85592
scaffold_1	466625	485975	478196	100	-20808.79841
scaffold_1	485993	512098	504684	100	-10649.45706
scaffold_1	512122	535743	522169	100	-14649.36765
scaffold_1	536546	556869	549520	100	NA
scaffold_1	556887	578810	568234	100	-20600.41729
scaffold_1	578816	600266	588358	100	-16272.34577
scaffold_1	600476	630166	616705	100	-19101.98145
scaffold_1	630187	663443	644489	100	-15274.06087
scaffold_1	663458	668832	665892	100	-9180.49256
scaffold_1	668835	691471	677700	100	-13451.09828
scaffold_1	691474	704263	700167	100	-12681.10566
scaffold_1	704284	719235	710383	100	-18010.80065
scaffold_1	719256	734331	725361	100	-15461.44533
scaffold_1	734427	756781	745420	100	-13784.64859
scaffold_1	756784	769010	759906	100	-13540.40576
scaffold_1	769020	791219	779225	100	-13382.16879
scaffold_1	791333	811303	801866	100	-14455.62557
scaffold_1	811365	854040	834187	100	-13484.58704
scaffold_1	854085	885627	865050	100	-12743.86782
scaffold_1	885630	906226	897911	100	-17512.50244
scaffold_1	906232	950402	924226	100	-14757.06130
scaffold_1	950414	977959	963624	100	-13730.14279
scaffold_1	977968	996592	986257	100	-19985.85262
scaffold_1	997000	1015971	1008810	100	-18878.98256
scaffold_1	1016001	1040898	1028496	100	-14541.16405
scaffold_1	1040943	1060361	1048957	100	-20483.56577
scaffold_1	1060406	1083422	1070354	100	-18441.49169
scaffold_1	1083449	1103845	1090270	100	-9117.47241
scaffold_1	1103848	1145462	1131404	100	-13346.00973
scaffold_1	1146101	1162641	1155568	100	-14360.23487
scaffold_1	1162692	1196567	1176801	100	-14046.97885
scaffold_1	1196651	1223175	1210701	100	-15451.06499
scaffold_1	1223208	1242986	1230403	100	-13232.47101
scaffold_1	1243273	1265638	1254799	100	-8582.52846
scaffold_1	1265698	1289382	1277149	100	-15267.02983
scaffold_1	1289433	1315380	1300054	100	-15982.93229
scaffold_1	1315395	1343922	1331657	100	-14935.49634
scaffold_1	1343943	1377709	1355891	100	-11817.73316
scaffold_1	1377919	1405930	1389944	100	-14980.02375
scaffold_1	1405936	1433613	1419545	100	-14247.44467
scaffold_1	1433616	1459460	1450099	100	-17204.34929
scaffold_1	1459868	1485205	1469726	100	-13884.53761
scaffold_1	1485347	1509571	1496419	100	-18303.53468
scaffold_1	1510683	1535517	1524282	100	-18416.61713
scaffold_1	1535520	1559938	1551253	100	-17556.47659
scaffold_1	1560109	1590259	1575048	100	-15277.86606
scaffold_1	1590418	1621114	1605488	100	-18607.91096
scaffold_1	1621171	1649996	1638593	100	-12900.36813
scaffold_1	1650323	1679188	1665051	100	-14050.30869
scaffold_1	1679254	1702614	1689188	100	-13750.65898
scaffold_1	1702623	1730806	1720222	100	-16502.32824
scaffold_1	1730923	1744539	1737793	100	-15048.95042
scaffold_1	1744545	1760499	1752257	100	-10754.94288
scaffold_1	1760610	1783982	1774481	100	-20356.07874
scaffold_1	1784216	1809595	1799650	100	-19360.99421
scaffold_1	1809598	1844192	1829520	100	-16065.66929
scaffold_1	1844195	1861085	1851754	100	-9670.22576
scaffold_1	1861205	1883777	1869864	100	-13688.15221
scaffold_1	1883783	1908439	1895968	100	-8783.56625
scaffold_1	1911726	1931378	1921420	100	-11501.67476
scaffold_1	1931399	1963117	1950708	100	-19007.29402
scaffold_1	1963411	1972622	1968827	100	-9160.05191
scaffold_1	1972640	1992814	1980148	100	-15509.89816
scaffold_1	1992853	2009420	2000565	100	-14434.99929
scaffold_1	2009585	2022441	2015683	100	-13989.97224
scaffold_1	2022459	2036827	2027843	100	-14874.69324
scaffold_1	2036929	2053972	2043811	100	-17668.42205
scaffold_1	2053987	2091126	2073874	100	-16325.44127
scaffold_1	2091138	2119109	2105305	100	-20055.96104
scaffold_1	2119160	2156525	2139271	100	-16410.80530
scaffold_1	2156576	2170044	2166198	100	-14901.13578
scaffold_1	2170056	2200535	2180663	100	-15846.84016
scaffold_1	2200583	2236939	2217715	100	-18273.27826
scaffold_1	2241414	2267465	2256173	100	-16021.95048
scaffold_1	2267552	2291210	2279448	100	-16651.45728
scaffold_1	2291234	2312443	2298572	100	-14506.51476
scaffold_1	2312482	2336787	2325716	100	-17120.03329
scaffold_1	2337659	2377105	2359996	100	-14476.72900
scaffold_1	2377361	2390738	2384057	100	-14407.88278
scaffold_1	2390756	2407844	2401387	100	-14269.77559
scaffold_1	2408192	2436380	2420704	100	-17381.26872
scaffold_1	2437172	2459759	2445888	100	-18719.74022
scaffold_1	2460063	2476659	2465353	100	-13229.56767
scaffold_1	2479328	2504113	2489715	100	-15980.46909
scaffold_1	2504155	2547132	2522399	100	-14924.90639
scaffold_1	2547168	2573774	2558737	100	-14310.71912
scaffold_1	2573777	2598654	2585465	100	-16388.77453
scaffold_1	2598978	2610790	2606251	100	-12160.47570
scaffold_1	2610793	2635780	2621337	100	-13807.07804
scaffold_1	2636098	2649994	2641584	100	-16334.02077
scaffold_1	2650210	2660295	2657740	100	-18528.26522
scaffold_1	2660328	2681089	2668605	100	-16209.64927
scaffold_1	2681095	2693488	2684444	100	-15096.90302
scaffold_1	2693509	2712974	2705253	100	-16106.81170
scaffold_1	2712989	2737783	2729028	100	-16528.96524
scaffold_1	2737840	2757244	2748970	100	-12586.89541
scaffold_1	2757253	2773641	2768354	100	-13295.87993
scaffold_1	2773671	2796763	2784275	100	-20768.68578
scaffold_1	2796766	2811765	2804162	100	-15244.61199
scaffold_1	2812049	2821149	2817945	100	-14258.51141
scaffold_1	2821182	2861122	2841466	100	-13682.13550
scaffold_1	2861143	2882018	2868013	100	-17374.64091
scaffold_1	2882051	2896951	2889541	100	-12799.93517
scaffold_1	2896957	2932666	2910915	100	-17226.51661
scaffold_1	2932669	2971724	2958584	100	-10191.59406
scaffold_1	2971772	2996634	2984000	100	-12657.27127
scaffold_1	2997554	3017203	3008406	100	-14217.03152
scaffold_1	3017239	3023565	3020251	100	-8834.18808
scaffold_1	3024388	3062211	3038719	100	-19170.70212
scaffold_1	3062232	3089172	3076166	100	-16081.87201
scaffold_1	3089181	3114135	3102735	100	-13186.78707
scaffold_1	3114222	3133079	3126852	100	-13433.02609
scaffold_1	3133112	3154952	3146501	100	-17551.59992
scaffold_1	3154973	3170197	3162395	100	-13296.27056
scaffold_1	3170242	3204205	3188381	100	-15752.85924
scaffold_1	3204226	3223348	3213221	100	-23221.67884
scaffold_1	3223360	3256230	3241564	100	-14885.95440
scaffold_1	3256329	3287694	3271145	100	-20996.60511
scaffold_1	3287787	3321893	3305155	100	-9298.11176
scaffold_1	3321977	3348741	3328770	100	-18088.77099
scaffold_1	3348756	3372897	3364579	100	-13329.17957
scaffold_1	3372898	3384277	3377801	100	-9203.11233
scaffold_1	3384319	3401395	3394501	100	-9574.61674
scaffold_1	3401512	3416517	3407535	100	-17874.45567
scaffold_1	3416520	3427354	3421921	100	-15252.73053
scaffold_1	3427363	3476110	3455622	100	-14138.63388
scaffold_1	3476113	3493350	3483019	100	-10862.51227
scaffold_1	3493515	3512181	3503159	100	-17348.14963
scaffold_1	3512187	3531826	3520869	100	-13866.03545
scaffold_1	3531895	3555145	3543861	100	-19010.86525
scaffold_1	3555837	3582649	3566147	100	-13465.19404
scaffold_1	3582760	3594085	3590406	100	-13496.05084
scaffold_1	3594500	3615857	3604475	100	-15140.50437
scaffold_1	3615863	3625876	3621482	100	-14683.01029
scaffold_1	3629454	3650261	3641959	100	-9891.56248
scaffold_1	3650285	3681527	3663650	100	-20996.67121
scaffold_1	3681605	3701197	3690817	100	-24665.83866
scaffold_1	3701332	3711054	3707758	100	-14701.05163
scaffold_1	3711069	3729629	3719819	100	-19058.24457
scaffold_1	3729713	3748213	3740389	100	-19308.12404
scaffold_1	3748243	3765781	3758006	100	-18145.65637
scaffold_1	3765946	3788031	3776269	100	-16745.13326
scaffold_1	3788034	3815720	3803106	100	-19495.50676
scaffold_1	3815729	3863045	3844863	100	-15301.41053
scaffold_1	3863051	3875634	3868218	100	-15290.38331
scaffold_1	3875697	3911311	3892913	100	-16206.04023
scaffold_1	3911883	3950314	3927733	100	-16270.82395
scaffold_1	3950536	3981335	3970496	100	-14248.60786
scaffold_1	3981515	4003342	3990386	100	-10187.74234
scaffold_1	4003420	4015538	4010563	100	-12001.32286
scaffold_1	4015571	4032246	4023594	100	-18469.02320
scaffold_1	4032270	4075028	4052672	100	-12584.22550
scaffold_1	4075037	4103534	4093297	100	-11024.30858
scaffold_1	4103549	4125617	4114260	100	-15945.25959
scaffold_1	4125653	4134471	4129215	100	-20020.15459
scaffold_1	4134474	4155934	4148467	100	-20717.24905
scaffold_1	4155949	4190604	4176270	100	-15664.25978
scaffold_1	4190658	4204618	4194469	100	-21377.21368
scaffold_1	4204624	4249041	4222441	100	-17712.08287
scaffold_1	4249044	4286245	4269696	100	-13095.07710
scaffold_1	4286555	4302643	4295961	100	-13269.45801
scaffold_1	4302655	4334860	4319295	100	-18830.54818
scaffold_1	4334890	4367082	4350606	100	-16785.42804
scaffold_1	4367091	4385340	4376274	100	-20788.41119
scaffold_1	4385598	4414762	4399945	100	-12304.29822
scaffold_1	4415179	4442821	4434662	100	-15892.64985
scaffold_1	4442824	4460912	4450176	100	-11114.50741
scaffold_1	4460930	4482922	4473552	100	-14126.93596
scaffold_1	4482964	4509286	4497439	100	-16899.61817
scaffold_1	4509310	4529351	4523811	100	-8146.22052
scaffold_1	4529354	4554148	4546038	100	-20433.48741
scaffold_1	4554202	4573784	4562371	100	-21904.90096
scaffold_1	4573790	4595151	4582242	100	-18036.74521
scaffold_1	4595172	4611217	4603048	100	-12525.19189
scaffold_1	4611220	4622256	4616711	100	-15019.57957
scaffold_1	4627435	4656677	4638399	100	-14622.83316
scaffold_1	4656692	4669501	4664029	100	-18804.12582
scaffold_1	4669507	4698815	4680296	100	-20289.47192
scaffold_1	4698944	4727634	4715795	100	-14800.85765
scaffold_1	4727640	4741089	4734727	100	-15858.40479
scaffold_1	4742426	4758514	4750965	100	-21746.39837
