scaffold	start	end	mid	sites	lnL
scaffold_8	4519	62708	35777	100	-3336.56530
scaffold_8	62738	100189	82844	100	-10489.61582
scaffold_8	100432	115524	109396	100	-14256.82324
scaffold_8	115719	130531	122788	100	-17863.37986
scaffold_8	130594	146664	138741	100	-13577.22037
scaffold_8	149349	196995	165373	100	-13778.86777
scaffold_8	197010	215093	206754	100	-13513.78951
scaffold_8	215138	261564	245715	100	-21820.00318
scaffold_8	261946	296741	284928	100	-10932.77006
scaffold_8	296744	318107	307175	100	-15690.24140
scaffold_8	318110	394951	343362	100	-15167.82867
scaffold_8	394999	416473	408640	100	-21761.66146
scaffold_8	416838	524534	502608	100	-18928.63044
scaffold_8	526329	568894	543144	100	-12569.65325
scaffold_8	568906	596612	582750	100	-11516.06356
scaffold_8	597321	624879	609858	100	-18072.15974
scaffold_8	624981	656732	642065	100	-19474.58607
scaffold_8	656756	683258	669524	100	-18707.17450
scaffold_8	683261	720355	701628	100	-14776.15556
scaffold_8	720382	749065	738458	100	-14913.54345
scaffold_8	749077	774674	761526	100	-13419.23680
scaffold_8	774680	805189	793971	100	-17875.38191
scaffold_8	805204	837780	819684	100	-15734.48993
scaffold_8	837795	848666	843726	100	-15543.83336
scaffold_8	848678	955013	936010	100	-6972.47625
scaffold_8	955061	961614	959290	100	-6861.17069
scaffold_8	961629	965794	963845	100	-7791.31453
scaffold_8	965809	973706	968817	100	-6044.79762
scaffold_8	973760	990983	978287	100	-4878.48842
scaffold_8	991007	1016287	1003450	100	-17148.72263
scaffold_8	1016401	1028878	1022675	100	-19637.11776
scaffold_8	1028883	1036617	1031734	100	-12298.83659
scaffold_8	1036665	1055641	1046794	100	-19315.38142
scaffold_8	1055776	1077635	1061619	100	-14400.32867
scaffold_8	1078046	1110408	1090207	100	-17397.17790
scaffold_8	1111015	1133743	1123319	100	-13785.03669
scaffold_8	1133756	1148105	1140760	100	-15409.22454
scaffold_8	1148180	1178009	1163306	100	-18840.58896
scaffold_8	1178030	1228316	1205506	100	-15595.51527
scaffold_8	1228319	1245971	1238381	100	-17776.69347
scaffold_8	1245980	1321786	1306659	100	-13137.09165
scaffold_8	1321798	1346184	1338078	100	-11257.45524
scaffold_8	1346187	1372482	1354362	100	-10785.38773
scaffold_8	1372488	1407054	1392381	100	-11463.97770
scaffold_8	1407084	1435728	1427622	100	-16612.05068
scaffold_8	1435743	1446213	1443075	100	-21199.88302
scaffold_8	1446216	1460187	1454280	100	-17151.67518
scaffold_8	1460190	1501846	1485996	100	-17677.15816
scaffold_8	1501849	1512624	1509366	100	-10243.80105
scaffold_8	1512627	1516172	1513748	100	NA
scaffold_8	1516211	1522128	1519880	100	NA
scaffold_8	1522143	1540512	1533720	100	-15523.47583
scaffold_8	1540518	1584456	1557082	100	-12381.54524
scaffold_8	1584477	1608131	1597129	100	-19583.31696
scaffold_8	1608170	1636724	1620504	100	NA
scaffold_8	1636745	1650823	1645785	100	-13218.71388
scaffold_8	1650913	1694521	1674381	100	-9720.26564
scaffold_8	1694551	1740075	1723820	100	-18244.94182
scaffold_8	1740087	2024141	1872504	100	-8191.73149
scaffold_8	2024159	2029863	2027041	100	-10648.43408
scaffold_8	2029875	2060680	2043889	100	-16691.26506
scaffold_8	2060716	2075759	2067764	100	-17847.08682
scaffold_8	2076064	2128144	2099339	100	-11933.51101
scaffold_8	2128168	2130943	2129616	100	NA
scaffold_8	2130982	2135249	2133135	100	NA
scaffold_8	2135279	2209221	2167272	100	-7568.19186
scaffold_8	2209233	2254651	2225335	100	-5479.71809
scaffold_8	2254660	2270833	2262193	100	NA
scaffold_8	2270896	2302698	2295560	100	NA
scaffold_8	2302779	2310341	2308784	100	NA
scaffold_8	2310380	2352298	2336312	100	NA
scaffold_8	2352304	2366835	2360070	100	NA
scaffold_8	2366883	2377353	2370376	100	NA
scaffold_8	2377364	2409543	2401296	100	NA
scaffold_8	2409567	2457210	2430569	100	-11397.00968
scaffold_8	2457240	2488336	2471126	100	-15750.13063
scaffold_8	2488348	2517599	2503394	100	-12063.98571
scaffold_8	2517620	2595469	2531184	100	-12878.81565
scaffold_8	2595472	2651018	2610924	100	-6772.92909
scaffold_8	2651828	2762873	2709604	100	NA
scaffold_8	2762882	2788302	2771417	100	-12865.66434
scaffold_8	2788501	2821217	2804465	100	-9845.50535
scaffold_8	2821259	2837221	2830536	100	-7862.60234
scaffold_8	2837245	2902410	2858166	100	-6990.38405
scaffold_8	2903214	2942107	2919705	100	-10612.18173
scaffold_8	2942586	2966598	2953727	100	-18809.43281
scaffold_8	2966685	2982366	2971827	100	-16014.14297
scaffold_8	2982369	3013006	2993222	100	-19798.21777
scaffold_8	3013012	3026529	3017394	100	-19466.20097
scaffold_8	3026598	3060409	3035713	100	-16338.00081
scaffold_8	3060412	3074308	3067865	100	-15188.92158
scaffold_8	3074323	3108020	3084934	100	-10847.41018
scaffold_8	3108050	3128008	3117923	100	-10872.10973
scaffold_8	3128158	3255882	3207963	100	-8553.60621
scaffold_8	3255912	3272046	3262715	100	-16097.07604
scaffold_8	3272064	3323326	3289139	100	-16685.96096
scaffold_8	3323335	3345346	3335156	100	-11956.33870
scaffold_8	3345454	3398423	3374257	100	-13193.24691
scaffold_8	3398615	3415506	3408407	100	-11990.62529
scaffold_8	3415569	3474806	3453094	100	-24674.43920
scaffold_8	3475585	3541197	3505684	100	-13504.55429
scaffold_8	3541248	3575882	3561867	100	-17868.44535
scaffold_8	3575897	3591083	3582428	100	-15006.38601
scaffold_8	3591101	3632119	3607008	100	-15324.24998
scaffold_8	3632155	3641238	3636100	100	-12263.09898
scaffold_8	3641253	3660318	3652316	100	-12790.88708
scaffold_8	3660333	3676368	3670130	100	-8570.70385
scaffold_8	3676398	3711412	3701014	100	-17905.65965
scaffold_8	3711535	3753647	3735638	100	-11130.60027
scaffold_8	3753842	3777139	3763492	100	-20985.65607
scaffold_8	3777148	3828286	3807904	100	-16149.05005
scaffold_8	3828428	3852650	3840067	100	-22476.64363
scaffold_8	3852674	3870405	3861518	100	-15449.13993
scaffold_8	3870408	3915148	3885655	100	-18494.93815
scaffold_8	3915151	3941959	3924863	100	-16025.75841
scaffold_8	3941974	3955619	3949963	100	-14742.41703
scaffold_8	3955631	3988113	3969605	100	-18731.19313
scaffold_8	3988122	4002680	3992794	100	-14605.54211
scaffold_8	4002776	4046864	4022621	100	-6980.92685
scaffold_8	4047012	4067686	4060561	100	-9930.83573
scaffold_8	4067692	4113045	4087260	100	-13384.79940
scaffold_8	4113048	4159066	4138267	100	-11459.88894
scaffold_8	4159123	4220641	4184984	100	-9589.13493
scaffold_8	4220662	4247935	4228715	100	-17367.33874
scaffold_8	4247938	4416142	4287155	100	-18990.74057
scaffold_8	4416154	4488083	4429026	100	-15639.29240
scaffold_8	4488227	4518774	4502948	100	-18369.13238
scaffold_8	4519366	4605599	4563536	100	-11850.10138
scaffold_8	4614170	4631719	4622575	100	-13253.97292
scaffold_8	4631764	4693625	4651353	100	-14240.42605
scaffold_8	4693658	4766801	4731088	100	-12486.81645
scaffold_8	4766804	4795208	4774599	100	NA
scaffold_8	4795262	4824049	4807755	100	-17244.14198
scaffold_8	4824061	4852048	4845806	100	-11355.12406
scaffold_8	4852060	4964355	4909876	100	-10994.56428
scaffold_8	4964478	5046274	5025125	100	-19838.71217
scaffold_8	5046280	5404202	5128060	100	-15773.62663
scaffold_8	5404274	5431980	5418152	100	-9284.29179
