scaffold	start	end	mid	sites	lnL
scaffold_6	1839	50204	31406	100	-4600.80341
scaffold_6	50237	71215	56042	100	-6527.09669
scaffold_6	71218	80223	74785	100	-9956.88546
scaffold_6	80232	96534	86871	100	-18551.12051
scaffold_6	97276	126243	105121	100	-7229.72114
scaffold_6	126572	152380	140478	100	-11972.85403
scaffold_6	152452	170750	162656	100	-12769.44816
scaffold_6	170777	187925	177247	100	-14924.41719
scaffold_6	187931	201955	195745	100	-15224.93231
scaffold_6	201961	209880	205457	100	-19457.77518
scaffold_6	209907	230278	217043	100	-13328.81860
scaffold_6	230281	252812	241146	100	-16790.82498
scaffold_6	252902	269809	260713	100	-10231.73240
scaffold_6	269815	298158	283764	100	-19986.47880
scaffold_6	298164	310529	307706	100	-10275.23335
scaffold_6	310550	318510	314107	100	-15152.42602
scaffold_6	318570	329700	322499	100	-7113.47650
scaffold_6	329807	346976	336927	100	-12527.30822
scaffold_6	346982	368296	359667	100	-9928.71595
scaffold_6	368314	383999	376315	100	-13947.53935
scaffold_6	384035	393173	389796	100	-17497.38963
scaffold_6	393200	403256	400077	100	-12388.05212
scaffold_6	403265	425405	412292	100	-18099.59031
scaffold_6	425408	441074	434576	100	-12987.26930
scaffold_6	441080	448184	444269	100	-12347.07203
scaffold_6	448196	470316	459344	100	-14954.53669
scaffold_6	470463	483186	478022	100	-15711.31507
scaffold_6	483189	505392	495850	100	-11421.48415
scaffold_6	505518	514084	510834	100	-13998.14187
scaffold_6	514221	525218	518505	100	-17723.03164
scaffold_6	525230	563051	547519	100	-11908.08329
scaffold_6	563081	592208	577673	100	-18555.82498
scaffold_6	592336	606127	599248	100	-20377.30822
scaffold_6	606383	637182	620664	100	-16617.43880
scaffold_6	637197	666021	652915	100	-13670.47664
scaffold_6	666039	707622	682212	100	-18353.71769
scaffold_6	707655	716605	711411	100	-14109.13492
scaffold_6	716674	733574	724727	100	-10718.39475
scaffold_6	733580	754408	744732	100	-15292.82179
scaffold_6	754447	771236	765381	100	-13477.85828
scaffold_6	771293	785048	775677	100	-19432.22864
scaffold_6	785516	802180	796078	100	-9599.74849
scaffold_6	802186	812256	806318	100	-11313.02015
scaffold_6	812319	824241	818742	100	-9811.73917
scaffold_6	824271	832939	828248	100	-10483.37728
scaffold_6	837107	858019	846358	100	-14396.77137
scaffold_6	864665	875343	867723	100	-13328.36412
scaffold_6	875364	889352	881839	100	-19811.39391
scaffold_6	889382	947837	927858	100	-15725.91225
scaffold_6	947873	973421	962797	100	-17298.37211
scaffold_6	973424	983699	977949	100	-12279.24681
scaffold_6	983877	1038134	1000829	100	-15733.38959
scaffold_6	1038243	1063545	1053036	100	-18710.84205
scaffold_6	1063650	1081718	1072033	100	-14457.53395
scaffold_6	1081721	1096813	1088656	100	-17328.48576
scaffold_6	1096831	1132030	1113387	100	-17753.12587
scaffold_6	1132039	1160646	1147368	100	-14343.02147
scaffold_6	1160897	1178478	1169570	100	-17121.63491
scaffold_6	1179186	1202751	1192525	100	-12611.77364
scaffold_6	1202778	1220251	1208932	100	-18808.58963
scaffold_6	1220278	1242558	1231680	100	-19341.74439
scaffold_6	1242567	1262863	1253260	100	-15132.59817
scaffold_6	1262908	1278500	1269112	100	-18837.27100
scaffold_6	1278629	1297952	1287233	100	-24591.28226
scaffold_6	1298090	1336705	1322438	100	-17409.46580
scaffold_6	1338508	1354740	1346466	100	-17707.04309
scaffold_6	1354749	1372728	1362889	100	-16674.28261
scaffold_6	1372737	1379379	1374416	100	-11589.59439
scaffold_6	1379646	1415905	1402931	100	-11174.41906
scaffold_6	1415914	1427283	1423427	100	-13224.32101
scaffold_6	1427325	1451479	1440923	100	-13436.01054
scaffold_6	1451614	1484307	1468419	100	-12935.90501
scaffold_6	1484412	1507526	1496758	100	-13716.51934
scaffold_6	1507529	1532034	1516633	100	-19573.42343
scaffold_6	1532371	1555940	1546286	100	-17104.94959
scaffold_6	1556143	1563870	1560968	100	-17865.95350
scaffold_6	1563924	1610159	1581616	100	-23734.67972
scaffold_6	1610180	1625057	1617028	100	-13669.20651
scaffold_6	1625066	1642905	1634252	100	-15277.52211
scaffold_6	1642908	1663171	1649186	100	-20475.15933
scaffold_6	1663180	1693537	1678796	100	-24833.70522
scaffold_6	1693573	1730717	1711025	100	-22256.80436
scaffold_6	1730735	1738278	1734230	100	-14543.18664
scaffold_6	1738287	1802241	1753438	100	-12663.93543
scaffold_6	1802247	1850804	1834812	100	-16230.19581
scaffold_6	1850927	1869841	1861559	100	-17370.46900
scaffold_6	1869940	1897489	1884238	100	-18307.20677
scaffold_6	1897717	1913462	1902795	100	-14198.28381
scaffold_6	1914029	1948351	1933271	100	-15800.98360
scaffold_6	1948491	1965723	1960359	100	-14568.13541
scaffold_6	1965771	1999781	1982231	100	-11379.66832
scaffold_6	1999850	2013823	2005750	100	-12706.38180
scaffold_6	2013832	2044722	2026050	100	-12780.55261
scaffold_6	2044725	2073170	2063171	100	-19371.73122
scaffold_6	2073266	2088678	2082189	100	-16796.43965
scaffold_6	2088822	2112752	2103586	100	-14168.47662
scaffold_6	2112815	2137316	2123823	100	-20109.22965
scaffold_6	2137397	2156803	2147971	100	-15131.65609
scaffold_6	2156839	2174421	2166696	100	-17717.52579
scaffold_6	2174439	2198851	2185074	100	-16043.90285
scaffold_6	2198869	2220145	2210290	100	-16454.58381
scaffold_6	2220151	2271818	2245992	100	-16041.74254
scaffold_6	2271827	2286081	2279994	100	-13339.81048
scaffold_6	2286111	2328296	2311300	100	-9965.29768
scaffold_6	2328341	2381500	2357613	100	-13489.76763
scaffold_6	2381545	2408491	2397185	100	-15674.26902
scaffold_6	2413789	2448359	2435020	100	-15746.70993
scaffold_6	2448413	2479529	2467101	100	-23026.29305
scaffold_6	2479577	2500898	2486278	100	-12262.52566
scaffold_6	2501027	2533411	2520846	100	-22380.25854
scaffold_6	2533456	2561231	2546742	100	-15678.30866
scaffold_6	2561333	2597254	2579517	100	-18413.08942
scaffold_6	2597587	2616568	2608284	100	-18861.92603
scaffold_6	2616583	2636293	2626598	100	-18962.19918
scaffold_6	2636515	2657101	2646401	100	-14465.60630
scaffold_6	2657113	2684800	2668844	100	-12331.66941
scaffold_6	2684803	2700610	2692053	100	-15560.98521
scaffold_6	2700634	2716587	2711358	100	-18803.76499
scaffold_6	2716596	2726358	2720623	100	-18578.81712
scaffold_6	2726424	2792249	2758159	100	-14400.60241
scaffold_6	2792321	2812511	2803366	100	-19167.89665
scaffold_6	2812535	2839402	2823022	100	-16453.35674
scaffold_6	2839468	2876606	2849725	100	-15614.03802
scaffold_6	2876651	2894705	2886177	100	-13844.11911
scaffold_6	2894717	2909340	2900606	100	-15051.37920
scaffold_6	2909352	2926519	2917183	100	-14821.64116
scaffold_6	2926522	2943995	2936039	100	-9828.38257
scaffold_6	2944007	2954102	2947226	100	-6892.77731
scaffold_6	2954123	2973568	2962372	100	-17175.32957
scaffold_6	2984663	3020199	3005475	100	-20437.64233
scaffold_6	3020229	3048970	3036686	100	-16129.77802
scaffold_6	3048994	3069545	3057213	100	-17174.39672
scaffold_6	3069593	3119903	3091323	100	-12479.36812
scaffold_6	3119921	3140399	3129997	100	-15067.05657
scaffold_6	3140411	3164004	3155166	100	-17136.56401
scaffold_6	3164097	3219694	3196826	100	-17001.63932
scaffold_6	3219730	3241004	3232260	100	-12343.96619
scaffold_6	3241031	3254591	3247292	100	-16398.34310
scaffold_6	3254612	3275804	3264483	100	-15766.53910
scaffold_6	3276144	3302715	3286209	100	-14590.73886
scaffold_6	3302766	3331181	3313561	100	-21256.72517
scaffold_6	3331574	3412838	3364908	100	-9331.04001
