scaffold	start	end	mid	sites	lnL
scaffold_3	2653	70704	31115	100	-8992.59218
scaffold_3	70725	86256	78988	100	-20171.59111
scaffold_3	86298	101672	93915	100	-12454.39665
scaffold_3	104267	115461	109658	100	-14856.10255
scaffold_3	115485	137061	128454	100	-12513.35152
scaffold_3	137067	156459	145154	100	-9883.44884
scaffold_3	156471	174002	162852	100	-18405.56365
scaffold_3	174482	194225	181702	100	-13664.08629
scaffold_3	195251	211746	204320	100	-14319.06983
scaffold_3	214095	245409	226826	100	-13673.25092
scaffold_3	245418	275871	266398	100	-15896.89050
scaffold_3	275889	303012	289094	100	-16034.63611
scaffold_3	304115	337791	324394	100	-14379.80324
scaffold_3	337797	357005	346658	100	-12626.06427
scaffold_3	357275	382440	366494	100	-21501.90844
scaffold_3	382736	402582	391354	100	-14903.20893
scaffold_3	402591	424991	410067	100	-14914.59249
scaffold_3	425090	452779	439887	100	-17623.06956
scaffold_3	452788	467845	461758	100	-13996.92015
scaffold_3	467848	496900	479072	100	-16294.92763
scaffold_3	496903	516119	504793	100	-14083.00359
scaffold_3	516349	567311	545042	100	-14328.74396
scaffold_3	567344	584207	572995	100	-19983.34224
scaffold_3	584375	601349	595895	100	-15490.80036
scaffold_3	601379	635576	614048	100	-17208.97698
scaffold_3	635624	658377	650926	100	-10778.53001
scaffold_3	658383	694628	681289	100	-17666.53470
scaffold_3	694649	716032	706157	100	-21302.21213
scaffold_3	716044	738804	727416	100	-22867.21561
scaffold_3	738843	759084	750455	100	-22234.99702
scaffold_3	759120	782645	769608	100	-20143.84107
scaffold_3	782783	807873	795847	100	-11247.59553
scaffold_3	807992	833386	821808	100	-10079.35992
scaffold_3	833392	882499	855819	100	-17101.42237
scaffold_3	882547	916715	901923	100	-7940.94189
scaffold_3	916754	945204	934034	100	-12196.98851
scaffold_3	946430	973172	958426	100	-16787.76086
scaffold_3	973187	990643	987133	100	-8791.28544
scaffold_3	990661	1012970	1000786	100	-19611.74499
scaffold_3	1013017	1052711	1030230	100	-12755.96932
scaffold_3	1052729	1063912	1059334	100	-16602.12621
scaffold_3	1064482	1075709	1068813	100	-13385.60024
scaffold_3	1075718	1095998	1087243	100	-15067.98994
scaffold_3	1096073	1106901	1100707	100	-16600.31312
scaffold_3	1106976	1139229	1122703	100	-14635.71537
scaffold_3	1139238	1175000	1152544	100	-15063.99902
scaffold_3	1175006	1178818	1176499	100	-16247.50343
scaffold_3	1178863	1216608	1195601	100	-18467.77032
scaffold_3	1216689	1240997	1227839	100	-17009.07790
scaffold_3	1252229	1275779	1265073	100	-16178.57035
scaffold_3	1276448	1295931	1284533	100	-17793.59587
scaffold_3	1296091	1320724	1311885	100	-16723.05582
scaffold_3	1320748	1348324	1332829	100	-16430.06910
scaffold_3	1348327	1371227	1364095	100	-17872.60348
